Published date,tweet
2021-06-29 23:05:46,"Britney Spears says she wants to end the conservatorship that has controlled her life for 13 years. @LizDDay,… https://t.co/xpCpK2BrDm"
2021-06-29 23:00:17,"“Hamilton,"" the biggest Broadway hit in years, is getting $30 million in relief from the federal government, with t… https://t.co/lg0rb07xeM"
2021-06-29 22:50:04,Calls are growing for lawmakers to quickly reform century-old monopoly laws after a federal judge dismissed state a… https://t.co/VSmxEpJ6uM
2021-06-29 22:40:07,Fox News agreed to pay a $1 million penalty after a formal review of the sexual harassment complaints that shook th… https://t.co/lylWxU4Oee
2021-06-29 22:30:13,"In Opinion

Lusia Harris led her team to three national championships, scored the first basket in women’s Olympic h… https://t.co/aRoRQlAip9"
2021-06-29 22:15:02,"Rep. James Clyburn, Democrat of South Carolina and the highest-ranking Black member of Congress, took a rare step i… https://t.co/Vden1rPPa9"
2021-06-29 22:00:09,"What does it take to transform winter into spring, or to create a faux forest? Meet the masters tasked to bring fol… https://t.co/96Stx5fBZF"
2021-06-29 21:50:01,The extreme heat in the Pacific Northwest has little precedent in at least four decades of record-keeping. Here’s a… https://t.co/ApJlv22GzL
2021-06-29 21:45:08,"Gossip is good. We should all do more of it. 
(Our comments on this are open if you want to share some harmless, en… https://t.co/85cxn6C1Rb"
2021-06-29 21:30:07,"The House voted on Tuesday to speed up the visa process for more than 18,000 Afghans facing retribution for working… https://t.co/aGwiJhmVON"
2021-06-29 21:20:09,Does the Delta variant cause different Covid-19 symptoms? It's not clear yet. The data that might suggest it does h… https://t.co/GCrjObp5st
2021-06-29 21:15:08,Jurors and alternates for New York’s sweeping opioid trial will hear testimony from what is likely to be hundreds o… https://t.co/Awnkd6C84q
2021-06-29 21:00:16,Outdoor dining became a rare bright spot for New York City amidst the darkness of the pandemic. Here’s how to prese… https://t.co/vzLnu4BpAC
2021-06-29 20:52:56,RT @nytgraphics: New York City released unofficial ranked-choice results that show a tight mayoral race between Eric Adams and Kathryn Garc…
2021-06-29 20:45:04,Algunas familias se han sentido frustradas por la lentitud de las labores de rescate. Las autoridades les han expli… https://t.co/H8hPe7RbY0
2021-06-29 20:35:04,RT @NYTmag: Ask the Ethicist: What should you do with the insensitive nude canvases that your painter grandfather made?  https://t.co/OnsgV…
2021-06-29 20:30:11,Broadway took its first steps back with the return of Bruce Springsteen’s show — and no one is happier than Jim Bar… https://t.co/ESQtU96mfu
2021-06-29 20:15:03,"Astronomers definitively observed, for the first time, a black hole swallowing a dead star last year. Ten days late… https://t.co/HdBEMGCQo5"
2021-06-29 20:06:59,"According to Tuesday’s unofficial results, Eric Adams leads over Kathryn Garcia in New York City's mayoral race by… https://t.co/b4rso267je"
2021-06-29 20:03:22,Breaking News: Eric Adams’s lead in the New York City Democratic mayoral primary shrunk after an initial count of r… https://t.co/xhN1s9t78m
2021-06-29 20:00:06,"Los Angeles County is now strongly recommending that everyone wear masks indoors, regardless of vaccination status,… https://t.co/dCPzloLVlc"
2021-06-29 19:57:25,"RT @katieglueck: NEW: First cut on latest NYC mayoral twist:
A preliminary new RCV tally suggested the race between Adams and his 2 closest…"
2021-06-29 19:45:04,"With more than 47 million Americans expected to travel over the Fourth of July weekend, prices are climbing.

What’… https://t.co/vXK6IJpazs"
2021-06-29 19:38:29,"“We can say extreme weather is happening more as climate changes, and will continue to happen more,” said one clima… https://t.co/khHcxzpzZz"
2021-06-29 19:38:28,"Climate change is also making episodes of extreme heat more frequent, longer and more intense. In Seattle and Portl… https://t.co/Ui2a8v84sA"
2021-06-29 19:38:27,"Climate is naturally variable, so periods of high heat are to be expected. But in this case, scientists see the fin… https://t.co/eyQKQC9AFk"
2021-06-29 19:38:26,"The recent extreme temperatures were widespread and intense, in some places surpassing records by double digits. Th… https://t.co/BkxU1T5x1r"
2021-06-29 19:38:25,How unusual is the heat that’s been smothering the Pacific Northwest? Off the charts. https://t.co/R0atewMMis https://t.co/W0xBLM1WRT
2021-06-29 19:30:14,The Nelk Boys are known for their pranks and frat-like parties on YouTube — but they often say with pride that the… https://t.co/E7LKBN2hff
2021-06-29 19:27:01,"Serena Willams is out of Wimbledon in the first round, after exiting with a leg injury. https://t.co/Mmt6pz4c8B"
2021-06-29 19:20:05,RT @adamliptak: Last opinions of the #SCOTUS term will be issued Thursday.  Two left: voting rights and donor disclosures
2021-06-29 19:15:09,Facebook debuted a newsletter subscription service called Bulletin on Tuesday. The writers include Malcolm Gladwell… https://t.co/Y4iqAaCmUO
2021-06-29 19:05:03,"RT @RorySmith: That is, I think, a really significant win for how England, the football team, sees itself. https://t.co/eC2y9aWinL"
2021-06-29 19:00:11,At-home rapid Covid tests — which allow you to swab your own nose and get the results in minutes — can be a useful… https://t.co/rwg3DiTzyw
2021-06-29 18:45:04,"The wave of lawsuits, investigations and proposed legislation aimed at ending the dominance of Amazon, Apple, Faceb… https://t.co/a2jC81x9XD"
2021-06-29 18:44:00,"RT @EricSchmittNYT: “Civil war is certainly a path that can be visualized,"" the top U.S. commander in Afghanistan says, offering a bleak fo…"
2021-06-29 18:36:05,"A poster calling one woman a #SuperGrandma. A picture of the Guara family that says, “We have not lost hope.”
 
Blo… https://t.co/wFkireB5EM"
2021-06-29 18:30:11,U.S. regulators told automakers to begin reporting and tracking crashes involving cars and trucks that use advanced… https://t.co/DJmQvrFpaP
2021-06-29 18:26:40,"RT @EricSchmittNYT: A main way in and, most importantly, the main way out of strife-torn Afghanistan hangs in the balance as U.S. troops le…"
2021-06-29 18:17:09,"England had not beaten Germany in a knockout game at a major soccer tournament since the 1966 World Cup final, the… https://t.co/hAfLTDQry5"
2021-06-29 18:15:08,"New York City landlords are trying to entice office tenants with lower rents, sweeping redesigns and new technology… https://t.co/70DZxPtb5P"
2021-06-29 18:13:40,"RT @NYTSports: England beat Germany, and its demons, to advance to the quarterfinals at Euro 2020. @RorySmith at the whistle: https://t.co/…"
2021-06-29 18:05:05,"The heat dome that settled over the Pacific Northwest over the weekend, shattering records in Portland and Salem, O… https://t.co/lzKBsnquol"
2021-06-29 18:00:16,"A drought supercharged by climate change is transforming California’s Central Valley, the most lucrative agricultur… https://t.co/yhalQi221A"
2021-06-29 17:50:09,The University of North Carolina’s board of trustees is scheduled to hold a special meeting on Wednesday amid inten… https://t.co/NogdMmiipy
2021-06-29 17:49:31,RT @dmccabe: New w/ @SteveLohr @MikeIsaac: Monday's rulings dismissing two government antitrust lawsuits against Facebook have put a bright…
2021-06-29 17:45:05,The heat smothering the Pacific Northwest has little precedent in at least four decades of record-keeping. Our char… https://t.co/Ey1BZ1gNrh
2021-06-29 17:35:03,"RT @MichaelPaulson: The Boss is back on Broadway. That means workers are starting to come back too. Meet Jim Barry, an usher for 20 years,…"
2021-06-29 17:30:04,The Supreme Court on Tuesday cleared the way for a pipeline to transport natural gas from Pennsylvania to New Jerse… https://t.co/z8Hit5JIcB
2021-06-29 17:15:06,"RT @MichaelPaulson: ""Hamilton"" is doing well as the federal government has started rolling out economic aid to the performing arts: It has…"
2021-06-29 17:08:02,The House is scheduled on Tuesday to vote to remove statues honoring Confederate and other white supremacist leader… https://t.co/CIryA8XcKC
2021-06-29 17:01:01,"Wisconsin Republicans are challenging the 2020 election results. But Donald Trump accused them of not doing enough,… https://t.co/2qL3uxQbGO"
2021-06-29 16:51:06,Families and friends of the missing residents of the Surfside condominium collapse held a vigil on Monday night. As… https://t.co/dNidV2Fdem
2021-06-29 16:43:29,"RT @SarahMaslinNir: Opening arguments are now underway in a opioid trial like no other--it's New York versus the pill supply chain. 

""It w…"
2021-06-29 16:40:04,"Jill Biden, the first lady, will appear on the cover of the August issue of Vogue, continuing a tradition that Anna… https://t.co/QxSAzp6yqU"
2021-06-29 16:35:06,"""It would be too definitive to declare that Monday, June 28, 2021, was the greatest day of tournament soccer in his… https://t.co/msRfCEYuz3"
2021-06-29 16:30:13,RT @cdcaron: A lot has been written about teenagers and the mental health issues that they're grappling with. It's important to take a clos…
2021-06-29 16:15:07,"President Biden and Jill Biden, the first lady, will travel to Florida on Thursday to visit the site of the collaps… https://t.co/SjcuMNfK4K"
2021-06-29 16:10:06,"The red-hot housing market in California is finally starting to cool: Statewide home sales, which had been rising s… https://t.co/BG8zKdPV1T"
2021-06-29 16:00:15,"The House is set to vote to speed up the visa process for the more than 18,000 Afghans who worked alongside the U.S… https://t.co/Mq9R4QqeBD"
2021-06-29 15:50:03,President Biden will fly to rural Wisconsin on Tuesday for an afternoon speech that will launch a national tour to… https://t.co/L2XvDzhhWb
2021-06-29 15:40:01,Algunos ingenieros que analizan la falla de una torre de condominios de 13 pisos en Florida dijeron que el derrumbe… https://t.co/QscZRmtFHS
2021-06-29 15:30:14,"Residents of Mekelle, the capital of Ethiopia’s Tigray region, celebrated in the streets after rebel fighters retoo… https://t.co/GWI5Jmx3wu"
2021-06-29 15:20:07,"RT @joshbarone: Igor Levit remembers Frederic Rzewski: “a real pain in many ways,” but also ""the people’s composer” https://t.co/AyA9Y2FXMY"
2021-06-29 15:10:06,The 1921 Tulsa race massacre wasn't the only episode of violence overlooked by historians. U.S. institutions are co… https://t.co/yy6jpsGRc3
2021-06-29 15:00:12,"Firefighters, search dogs and emergency crews have spent days scouring rubble for survivors of a residential buildi… https://t.co/hvSJdZoEMw"
2021-06-29 14:50:37,"RT @wirecutter: One great way to keep your pets cool this summer: serve ""pupsicles.""

Pour chicken broth into popsicle molds or ice cube tr…"
2021-06-29 14:50:12,RT @VVFriedman: Marc Jacobs had a show. I went. Here's what I saw (and what I thought) -  https://t.co/xKotQqnMxJ
2021-06-29 14:40:06,RT @dmccabe: New w/ @ceciliakang: The antitrust scrutiny of Big Tech has been a windfall for elite lawyers. They are working both sides of…
2021-06-29 14:32:12,"""The concrete deterioration is accelerating.""
""The roof situation got much worse.""

Read the full letter from the p… https://t.co/9qy4h6uoK9"
2021-06-29 14:30:08,"Scientists have often taken data from Native populations without permission, stigmatizing them and disregarding cus… https://t.co/dYbiZv8UjE"
2021-06-29 14:27:02,"RT @NYTmag: ""History is not therapy, and discomfort is part of growing up.""

Timothy Snyder, a scholar of totalitarianism, argues how the n…"
2021-06-29 14:25:08,RT @aatishb: We searched through decades of weather data to look for a precedent to this heatwave: there isn’t any. https://t.co/gDOKueOkwt…
2021-06-29 14:22:20,"Breaking News: Less than three months before the collapse of a condo near Miami, the president of the building’s bo… https://t.co/BJl6lKmHaL"
2021-06-29 14:20:07,"""Trying to shield young people from guilt prevents them from seeing history for what it was,"" Timothy Snyder writes… https://t.co/PBZqXPexYT"
2021-06-29 14:16:52,"RT @Lattif: “I am feeling good today. It’s like my birthday,” Meresiet Gebrewahid, an Ethiopian refugee in Sudan, told me while reacting to…"
2021-06-29 14:15:06,New York’s sweeping opioid trial — the first in the U.S. to target the entire supply chain — begins Tuesday. The pr… https://t.co/HeDkBCgFkN
2021-06-29 14:05:02,The WHO has urged even fully vaccinated people to continue wearing masks and taking other precautions because of co… https://t.co/ydphw9jVxs
2021-06-29 14:00:04,New York City’s Board of Elections is set to reveal on Tuesday the first ranked-choice tally from the mayoral prima… https://t.co/7jxQRYlwIl
2021-06-29 13:55:02,"RT @RorySmith: On reflection, I think it is possible that yesterday was the best day of international tournament football ever. But if you…"
2021-06-29 13:50:07,Miami Beach canceled its Independence Day fireworks out of respect for the victims of the collapsed condo building… https://t.co/zDp2rbM4L5
2021-06-29 13:45:06,"In Opinion

“Addressing the root causes of migration is one of several jobs President Biden has handed Ms. Harris,”… https://t.co/IK6rS5Co5g"
2021-06-29 13:35:05,Three scientific studies released on Monday offered fresh evidence that widely used vaccines will continue to prote… https://t.co/agSEKFER77
2021-06-29 13:30:16,How many words can you make with 7 letters? Try today’s Spelling Bee. https://t.co/413MQ7fiqE https://t.co/1yjNTl4pAr
2021-06-29 13:22:13,"Jacob Zuma, South Africa’s ex-leader and a comrade of Nelson Mandela, was sentenced to prison for refusing to coope… https://t.co/0GjkL8smlQ"
2021-06-29 13:20:08,"RT @henryfountain: Thrilled to be an honorary member of Team @UpshotNYT for a day. Story is pretty frightening, though. https://t.co/c8ItaR…"
2021-06-29 13:10:06,"RT @jonathanweisman: “There’s no need for drama around that.” Ah, but there is. Progressive Democrats say they will bring down the bipartis…"
2021-06-29 13:00:09,The WHO has urged even fully vaccinated people to continue wearing masks and taking other precautions because of co… https://t.co/Kvi3cVlFFY
2021-06-29 12:50:05,RT @ceciliakang: NEW: Big Tech is fighting back and that means Boom Times for Big Tech Antitrust lawyers via @NYTimes https://t.co/4CDA4ba9…
2021-06-29 12:30:10,"Medical schools in the Caribbean are expensive, often operated for profit and eager to accept applicants. But as gr… https://t.co/3T1yX8otpT"
2021-06-29 12:20:02,"In Opinion

Ezra Klein speaks to James Suzman, an anthropologist, about our relationship to work and why we spend s… https://t.co/u4tr66Yqt3"
2021-06-29 12:15:07,"RT @HernandezJavier: At one point, the violinist Pinchas Zukerman told students of Asian descent their playing was too perfect and they nee…"
2021-06-29 12:05:05,Almost two million people have been displaced since the start of the war in the Tigray region of Ethiopia. As Tigra… https://t.co/234mIFMdSf
2021-06-29 12:03:35,"Read a 1939 “bulletin” that suspended a Newark bar’s license “for permitting female impersonators.”
https://t.co/kWjMR3YN3T"
2021-06-29 12:00:05,"Serena Williams, a four-time Olympic gold medalist, won’t play at the Tokyo Games, she indicated on Sunday.

She ha… https://t.co/5ynw332bAl"
2021-06-29 11:55:05,New Jersey will formally apologize for using its liquor laws to shutter gay bars in the 20th century. It comes as a… https://t.co/7GJAle1TZU
2021-06-29 11:50:03,RT @katieglueck: New Yorkers will get one step closer today to learning who their next mayor is likely to be — but there will still be plen…
2021-06-29 11:45:06,Oil prices are up 85% since late last year. With explosive growth in demand expected as economies recover from the… https://t.co/kYxl644hcV
2021-06-29 11:40:04,"RT @jeligon: The former president of South Africa, Jacob Zuma, has been ordered to serve 15 months in prison for defying court orders. This…"
2021-06-29 11:35:03,"RT @Lattif: Follow the @nytimes live briefing on the developing situation in Ethiopia's northern Tigray region, the humanitarian crisis the…"
2021-06-29 11:30:09,The intense heat that’s been smothering the Pacific Northwest has little historical precedent. Here’s a look at jus… https://t.co/fLyqOr5zZw
2021-06-29 11:22:02,"United Airlines is planning a record expansion of its fleet, ordering 270 planes from Boeing and Airbus as the trav… https://t.co/HS4scwxr2m"
2021-06-29 11:00:04,The death toll from the collapse of a condo building near Miami has risen to 11. Emergency responders continue the… https://t.co/hza87v37va
2021-06-29 10:55:01,The collapse of a 13-story condo building in Florida prompted a desperate search for survivors and raised urgent qu… https://t.co/synSbBRQkO
2021-06-29 10:45:05,"Pinchas Zukerman, a renowned violinist, apologized after he used racist stereotypes about Asians during a class at… https://t.co/PsOr1LohEl"
2021-06-29 10:30:06,"“The pain, the suffering that has been going on in this community will never be understood.”

More than 100 people… https://t.co/FMKN3X9qXq"
2021-06-29 10:20:05,The WHO has urged even fully vaccinated people to continue wearing masks and taking other precautions because of co… https://t.co/AG3SfbQGiy
2021-06-29 10:15:05,"Outbreaks of the Delta coronavirus variant in Australia have forced four major cities — Sydney, Brisbane, Perth and… https://t.co/POYDqCrwlI"
2021-06-29 10:07:32,"Read the full article from @gettleman, @emilyschmall, @hariNYT and @suhasiniraj.  https://t.co/OIIEHXCNUW"
2021-06-29 10:06:50,"Modi’s government left much of the burden to states, cities, hospitals and individuals. Delhi, the capital, was all… https://t.co/FdZWMaturi"
2021-06-29 10:06:17,"Rohit Gupta’s father, Satish Kumar Gupta, died after oxygen ran out at Jaipur Golden Hospital in April. “Take me aw… https://t.co/Bk5eonoKNJ"
2021-06-29 10:05:00,"Despite knowing how vulnerable the country was, Prime Minister Narendra Modi’s government and local officials faile… https://t.co/xa4vLS5iwZ"
2021-06-29 10:04:41,"As a devastating second wave of Covid gripped India, hospitals ran out of beds and critical supplies, contributing… https://t.co/5QsLmxcgM1"
2021-06-29 10:00:12,"Alarms blared across an intensive care unit in Delhi, India. Over two dozen Covid patients on ventilators couldn’t… https://t.co/CvjlF33Sdc"
2021-06-29 09:45:06,"Rebels in the Tigray region of Ethiopia are consolidating their hold on the capital, Mekelle, after government forc… https://t.co/jn5VRT17bN"
2021-06-29 09:40:07,"North Korea’s leader, Kim Jong-un, looked considerably thinner after a four-week break from public view. His health… https://t.co/JEP5XujKpH"
2021-06-29 09:31:04,"The season’s fourth tropical storm, named Danny, made landfall on Monday evening over South Carolina, and then weak… https://t.co/mvuFIBNo8Q"
2021-06-29 09:20:02,"RT @suhasiniraj: At 9:45 p.m., alarms blared across the intensive care unit of Jaipur Golden Hospital. Over two dozen patients on ventilato…"
2021-06-29 09:15:26,"Breaking News: South Africa’s highest court ordered the imprisonment of Jacob Zuma, the country’s former president,… https://t.co/MOdHrXjZWT"
2021-06-29 09:10:05,"See the moment when a Tour de France spectator caused a pileup after a German rider, Tony Martin, hit a sign they w… https://t.co/jSGtlW9pR5"
2021-06-29 09:00:11,Dissent is immediately smothered. Neighbors are urged to report on one another. Children are taught to look for tra… https://t.co/HEEW7HQlny
2021-06-29 08:45:06,"RT @ceciliakang: Few post deadline thoughts:
-This was a huge win for Facebook, removing the greatest threat to its runaway growth. 
-The m…"
2021-06-29 08:16:03,"RT @vwang3: Model fishermen, model farmers, even model buffalo are the specialty of Xiapu County, China, where beautiful photos are guarant…"
2021-06-29 08:00:10,"Butter mochi, a Hawaiian dessert described as “the perfect combo of cake and mochi,” is as easy to make as it is to… https://t.co/rKpLusEylg"
2021-06-29 07:50:03,"RT @meslackman: A cascading series of failures, from the central government on down, left hospitals across India without medical oxygen, ki…"
2021-06-29 07:30:04,"Hong Kong will suspend all passenger flights from Britain beginning July 1, the government said, citing concerns ov… https://t.co/zFfTAPeNqi"
2021-06-29 07:00:10,"Disney’s “The Hunchback of Notre Dame” was released 25 years ago this month.
“That’s the most R-rated G you will ev… https://t.co/4M24M0xZYk"
2021-06-29 06:10:57,"The season’s fourth tropical storm, named Danny, made landfall on Monday evening over South Carolina, and then weak… https://t.co/gIWwziTPdL"
2021-06-29 06:00:06,The United Nations High Commissioner for Human Rights released a report calling for measures to address systematic… https://t.co/J1LSaJqM0Q
2021-06-29 05:00:08,"News Analysis: ""President Biden’s decision to strike Iranian-backed militias in Iraq and Syria early on Monday illu… https://t.co/WnweNmospO"
2021-06-29 04:40:03,It’s grilling season. https://t.co/8zYzrgWUAo
2021-06-29 04:20:04,"In Opinion

“Closed-mindedness and ignorance have become core conservative values,” Paul Krugman writes, “and those… https://t.co/Pjcpd3pEFg"
2021-06-29 04:00:09,Do you have a love story about being separated by national borders? Has your relationship been challenged by corona… https://t.co/HbqDWBQ6O3
2021-06-29 03:45:03,"One of China's top Instagram hotspots is Xiapu County, a rural peninsula of fishing villages, beaches and lush hill… https://t.co/JJpk1V9W6i"
2021-06-29 03:30:07,"A well organized refrigerator can make preparing meals easier, helps reduce waste and saves money. Here's how… https://t.co/Hb56Vdo83T"
2021-06-29 03:15:02,"By 2031, you may be able to spot the largest comet ever seen. 

The last time it was here, modern humans had yet to… https://t.co/3Iddvjlkku"
2021-06-29 03:00:03,"Two naked sunbathers fleeing deer were among 44 people in Sydney, Australia, fined for violating stay-at-home order… https://t.co/vcXJhwBHZD"
2021-06-29 02:45:04,Three scientific studies released on Monday offered fresh evidence that widely used vaccines will continue to prote… https://t.co/1e5AvTVXQu
2021-06-29 02:30:10,An analysis by the Economic Policy Institute found that whether they have a high school diploma or an advanced degr… https://t.co/dCKhLzlger
2021-06-29 02:15:04,A regional human rights court in Costa Rica ruled on Monday that the Honduran government was responsible for the 20… https://t.co/mZoqfEiqhm
2021-06-29 02:00:07,"New York City reached a milestone on Saturday night with “Springsteen on Broadway,” the first full-length event for… https://t.co/2Y7xdCpMX9"
2021-06-29 01:45:03,"In Opinion

""The mRNA vaccines, made by Moderna and Pfizer-BioNTech, will likely get full approval for use from the… https://t.co/CAPYc4ECbj"
2021-06-29 01:35:36,Some families have been frustrated with the slow pace of the rescue work at the collapsed condo in Florida. But off… https://t.co/MF5EAcciJg
2021-06-29 01:15:48,"Hong Kong will suspend all passenger flights from Britain beginning July 1, the government said on Monday, citing t… https://t.co/j5m561477d"
2021-06-29 01:00:23,"For the first time, Congress is supporting harm reduction programs meant to reduce the risk of drug users overdosin… https://t.co/3pibS4NqPT"
2021-06-29 00:45:07,Transportation Secretary Pete Buttigieg got a close-up look at the crumbling state of New York City’s most critical… https://t.co/Ohlx3QiGHw
2021-06-29 00:30:13,"Republican leaders in a number of states have refused to expand Medicaid, leaving millions of poor Americans withou… https://t.co/YemaZGNDO1"
2021-06-29 00:25:27,"Update: The Atlantic hurricane season’s fourth tropical storm, named Danny, made landfall on Monday evening over So… https://t.co/Xp7sJZyits"
2021-06-29 00:15:08,"Kim Kardashian West’s shapewear brand, Skims, will provide the official underwear, loungewear and pajamas for femal… https://t.co/BaHMSmk9y7"
2021-06-29 00:00:03,Un fotógrafo del Times colaboró con los migrantes que esperan en México a cruzar la frontera hacia EE. UU. en una s… https://t.co/o83WFMB8sZ
2021-06-28 23:45:06,Lawyers for Donald Trump’s family business mounted a last-ditch effort on Monday to fend off criminal charges again… https://t.co/2y9EwDy7eY
